clock,value_min,value_avg,value_max
1590076800,1114448,5972449,61841680
1590080400,2693016,9391924,57390904
1590084000,1175168,5691362,14635608
1590087600,2112800,5933726,20484920
1590091200,740064,3664888,9440976
1590094800,688208,4389874,19796232
1590098400,1610528,3803235,11061720
1590102000,1644432,6218450,28685144
1590105600,1015304,2897540,14604208
1590109200,541488,2467816,6445352
1590112800,438120,2326685,8384832
1590116400,399736,3383111,17065072
1590120000,335008,1054481,2647608
1590123600,190592,2249584,10596296
1590127200,185816,1356714,7130984
1590130800,187576,1058825,8220288
1590134400,189840,1678167,4567352
1590138000,203408,1360972,3951088
1590141600,406288,2407826,10490624
1590145200,537664,3115794,12409960
1590148800,1058176,3944583,13877200
1590152400,1002608,4311273,24186456
1590156000,1356144,6962771,28640176
1590159600,723784,3208823,19786328
1590163200,1486288,9926579,42149208
1590166800,3238152,8818846,21554584
1590170400,2680744,6289846,29299952
1590174000,915328,5025551,40828632
1590177600,600992,2833628,12641176
1590181200,851440,4115407,13806784
1590184800,1005112,4219328,12049040
1590188400,856928,4197384,18008424
1590192000,781904,1930067,6210792
1590195600,348472,2173425,14361232
1590199200,764672,2010336,4884232
1590202800,781512,2238894,7738512
1590206400,897280,2683666,15009624
1590210000,808672,1721138,7275784
1590213600,172808,571613,1630464
1590217200,166296,2702635,14407016
1590220800,158264,3716979,17631368
1590224400,151776,1278749,10741040
1590228000,376992,1693157,5655552
1590231600,582232,4569900,22424328
1590235200,400072,2538046,12720056
1590238800,419424,3407251,11553344
1590242400,382072,2496366,12906936
1590246000,422080,2606787,13341392
1590249600,888864,3706843,8643360
1590253200,667216,3566330,9643384
1590256800,384216,3942124,18806416
1590260400,441424,3018873,7845848
1590264000,463112,2842531,15323768
1590267600,612776,4586837,20567248
1590271200,1303384,3439449,13701192
1590274800,795952,2447560,7338928
1590278400,535616,3931858,26904144
1590282000,432008,2383658,6057016
1590285600,241528,1099592,3157096
1590289200,251328,3594791,19017616
1590292800,169368,876480,13408528
1590296400,158856,504089,4417800
1590300000,166680,680229,3257048
1590303600,166416,955730,2884104
1590307200,151560,791794,5183944
1590310800,155016,1400347,4870832
1590314400,206856,2108758,14298416
1590318000,497144,5181042,11503336
1590321600,286416,2813753,13021424
1590325200,382944,2161012,7682752
1590328800,402224,1471401,5438904
1590332400,406688,1433694,6458360
1590336000,935056,3911941,9923856
1590339600,1010376,5051186,17131848
1590343200,878344,2466249,7715192
1590346800,641216,3151422,12736768
1590350400,409768,1796047,8149096
1590354000,348592,2392584,7705008
1590357600,1277120,5752813,22318440
1590361200,439216,3362587,31624024
1590364800,470936,2891196,11917184
1590368400,458584,1932140,6922320
1590372000,420888,2421211,12576192
1590375600,207344,606516,2771864
1590379200,234400,1663269,10281568
1590382800,595152,1365517,9060552
1590386400,195944,1276123,8045480
1590390000,152344,2436580,15040656
1590393600,178608,761948,5051800
1590397200,171776,893283,3892592
1590400800,536696,3948492,9959368
1590404400,761680,5942896,21611592
1590408000,664936,6781655,26957808
1590411600,762296,6457741,50879344
1590415200,1770464,6129264,24256944
1590418800,1036376,5319379,19589480
1590422400,1886792,4998209,12540632
1590426000,2329392,10097927,82917880
1590429600,4805456,15604685,33400616
1590433200,1234504,8184023,47576536
1590436800,2573648,7981569,26734376
1590440400,1942048,5751164,20083152
1590444000,1620232,4559464,18944128
1590447600,1502848,3305946,11596720
1590451200,988816,3694361,21798808
1590454800,993528,3064894,7764552
1590458400,817992,2475921,6473368
1590462000,840632,2317457,11176720
1590465600,276960,2710912,15896112
1590469200,230328,2765501,11219160
1590472800,306784,2152702,15452768
1590476400,350104,1886311,16606592
1590480000,234136,1383681,5942600
1590483600,211664,1834888,7987504
1590487200,351672,4616243,42464672
1590490800,636376,4359764,19593488
1590494400,1302216,9235034,43576728
