clock,value_min,value_avg,value_max
1563192000,170651112,222446310,245355432
1563188400,92258968,156333926,245517360
1563184800,29854256,73581269,121096792
1563181200,333720,12801917,43525128
1563177600,183976,1146488,11797152
1563174000,147520,1271715,10617720
1563170400,172960,925170,3531528
1563166800,147920,992344,7077544
1563163200,184448,1235100,3698824
1563159600,368520,1975065,6291176
1563156000,878856,3235895,13906896
1563152400,492288,2752511,18415096
1563148800,400376,3547871,13831400
1563145200,470576,2513272,6374992
1563141600,427584,2605152,7746536
1563138000,397176,1955073,9500232
1563134400,358536,3314536,14236984
1563130800,585120,3033562,15519360
1563127200,356056,2307945,13598464
1563123600,328136,2471750,13135472
1563120000,1014992,4990734,20705928
1563116400,422032,4195262,13764616
1563112800,1088032,8293601,24620104
1563109200,778120,5541161,35611664
1563105600,307472,4821423,19644752
1563102000,1016912,6062951,42949136
1563098400,162224,1920671,6284032
1563094800,147880,1446076,11987432
1563091200,159512,1492599,9429576
1563087600,534552,2212450,8413576
1563084000,215448,1413459,6060712
1563080400,1045432,4592518,16166952
1563076800,1197272,5563117,33615144
1563073200,896952,2727857,11635304
1563069600,567328,2324814,8483600
1563066000,696000,5105630,16255192
1563062400,637664,5622541,18469952
1563058800,349416,2903465,9401408
1563055200,285096,1755050,5513696
1563051600,336480,1375333,5344776
1563048000,702512,5468670,40295104
1563044400,3511848,12946503,35692360
1563040800,6071600,25993048,53816192
1563037200,14559808,35996317,69147704
1563033600,16691408,30869613,63707816
1563030000,9038832,22014692,43151800
1563026400,18431264,36385888,65531360
1563022800,20396712,43813561,101931680
1563019200,18360904,30570130,61483616
1563015600,10597664,25239881,48162104
1563012000,1966880,11464711,30490696
1563008400,231728,1956529,13030360
1563004800,224928,1805014,12055408
1563001200,342776,2147166,4653008
1562997600,214640,1185307,3605664
1562994000,332104,2000516,9471328
1562990400,845632,2961382,14186200
1562986800,938600,2547546,9061600
1562983200,837064,2412412,15330720
1562979600,886712,3310744,8328592
1562976000,5350672,29275784,72616928
1562972400,51448024,99738096,199983304
1562968800,84139648,123237588,227556632
1562965200,100193136,143382806,229797800
1562961600,104535904,142568871,245652240
1562958000,132086248,203959482,248141752
1562954400,240448088,244652027,247660800
1562950800,230597992,243021656,247865592
1562947200,229321240,243511588,245790400
1562943600,182357376,226489040,248219488
1562940000,202869312,233345059,245661888
1562936400,186556456,235006284,245956304
1562932800,154316696,232037266,245744992
1562929200,103432824,175739404,243609440
1562925600,34990040,75734421,146901360
1562922000,1081784,15610366,47718936
1562918400,401400,4228861,17566264
1562914800,957992,3654396,9127488
1562911200,433896,2681678,12286392
1562907600,471080,2937521,9784256
1562904000,404440,3918815,13464688
1562900400,438000,4534189,19353504
1562896800,1204792,5992390,24002464
1562893200,2331872,6616769,17264984
1562889600,7943112,42668006,112858592
1562886000,49509224,92667427,180205176
1562882400,86144768,123522399,201869760
1562878800,84920512,159085227,245562960
1562875200,144827504,173583127,225264016
1562871600,173972656,214992743,245335848
1562868000,225802600,243924258,247881552
1562864400,243361552,244906131,247979888
1562860800,243283176,245178946,248041008
1562857200,244358512,245182559,248546088
1562853600,219651144,242617507,246983416
1562850000,240951576,244249080,247522192
1562846400,182091936,238988545,244746712
1562842800,110828536,181606119,228457584
1562839200,48284632,86155089,154587312
1562835600,795696,16654949,47424032
1562832000,328640,2013718,13814416
1562828400,474288,3657801,12775200
1562824800,741056,3822729,16980920
1562821200,991688,3140440,8220168
1562817600,568960,3297577,16581696
1562814000,1035496,4369133,18967728
